Site,Taxon,Type,i-14:0,14:0,i-15:0,a-15:0,15:0,15:1w7,i-16:0,16:0,16:1w9,16:1w8,16:1w7,16:1w6,16:1w5,i-17:0,a-17:0,17:0,16:2w7,16:2w6,16:2w4,16:3w6,16:3w4,16:3w3,16:4w3,16:4w1,18:0,Cy19:0,18:1w9,18:1w7,18:2w6,18:3w6,18:3w3,18:4w4,18:4w3,18:5w3,20:0,20:1w9,20:1w7,20:2w6,20:3w6,20:4w6,20:3w3,20:4w3,20:5w3,22:0,22:1w9,22:1w7,22:4w6,22:5w6,22:5w3,22:6w3,23:0,24:0,26:0,27:0,28:0,29:0,30:0,Sample_Date,Peri_Chla_mg.cm2,SRP_ug.L,NO3_ug.L,Canopy_Cover_per,Lat_Long,Slurry_Volume_mL,Cobble_SA_cm2,Slurry_AFDM_g,Slurry_Chla_mg,Temp,pH,DO_mg.L,Conductivity_uS.cm,State,EcoRegion,Discharge_L.s,MidPoint_Velocity_m.s,chla.afdm_per,AI,chla_mg.m2,afdm_mg.m2,UrbOp_per,UrbLo_per,UrbMed_per,UrbHi_per,Decid_per,Conif_per,MixFor_per,Hay_per,SepticWs,UrbTot_per,ForTot
East Livingstone,Hydropsychidae,Invert,0.0266765895,0.3819423595,0.1254057315,0.029772354,0.149799519,0,0.039383714,2.3120394875,0.1001714945,0.016892831,1.1301118264999999,0,0.520581076,0.0770597925,0.029313046,0.234176078,0.0020676435,0.0641104755,0,0,0.008550122,0.0649547545,0.0059610105,0.0023806920000000002,0.6222844430000001,0,1.833972619,0.24895651600000002,0.6418805265,0.023836307,1.9003273895000001,0,0.072035618,0,0.0453806905,0,0,0.006976907,0,0.2590478965,0,0,1.7565160185,0.040672688,0,0,0,0,0.0088462465,0.009384127,0,0.0064551555,0,0,0,0,0,1-Aug-19,0.51,6.8,68.4,45.1,"35.99504257987518, -92.1222211645147",390,1124,2.60325,0.572,25,NA,NA,NA,AR,Springfield_Plateau,8.3,0.14,0.02197253433208489,4551.136363636364,5.0889679715302485,23.1605871886121,1.62,0.89,0.09,0,48.9,13.2,29.9,0.27,1.93,0.98,92
East Livingstone,Heptageniidae,Invert,0.015720452,0.174422917,0.094961282,0.00720728,0.077846675,0,0.019400505,2.0003826085,0.1317706235,0.0109225675,1.6255948875000001,0,0.380844765,0.12281097699999999,0.011691106,0.183630171,0.0013103265,0.11836011299999999,0,0,0.0665865325,0.033973145999999996,0.003287379,0.0104439705,0.7273950595,0,0.7034803235,1.3356040574999999,0.54237707,0.054917322000000005,0.9325431660000001,0,0.10498086,0,0.0426943965,0,0,0.017236974500000002,0,0.339517779,0,0,1.4568885434999999,0.038047685,0,0,0,0,0.0025956390000000003,0.0038096230000000003,0,0.0029110704999999997,0,0,0,0,0,1-Aug-19,0.51,6.8,68.4,45.1,"35.99504257987518, -92.1222211645147",390,1124,2.60325,0.572,25,NA,NA,NA,AR,Springfield_Plateau,8.3,0.14,0.02197253433208489,4551.136363636364,5.0889679715302485,23.1605871886121,1.62,0.89,0.09,0,48.9,13.2,29.9,0.27,1.93,0.98,92
East Livingstone,Tabanidae,Invert,0.006157197,0.199245567,0.030587602,0.005451838,0.044830712,0,0.009808899,1.858139875,0.059588146,0.007600979,1.175785802,0,0.124124827,0.035881469,0.010896328,0.121321759,0.002285069,0.074224347,0,0,0.024173243,0.054492661,0.023427473,0.012769938,0.489298766,0,1.526845213,0.31227201,0.719782188,0.029724272,1.141315052,0,0.09132563,0,0.009540716,0,0,0.003210853,0,0.151317888,0,0,1.2613509999999999,0.003188811,0,0,0,0,0.010679577,0.009992587,0,0.001458477,0,0,0,0,0,1-Aug-19,0.51,6.8,68.4,45.1,"35.99504257987518, -92.1222211645147",390,1124,2.60325,0.572,25,NA,NA,NA,AR,Springfield_Plateau,8.3,0.14,0.02197253433208489,4551.136363636364,5.0889679715302485,23.1605871886121,1.62,0.89,0.09,0,48.9,13.2,29.9,0.27,1.93,0.98,92
East Livingstone,Physidae,Invert,8.552765e-4,0.1442723365,0.0040345765,0.0013275345,0.019568202,0,0.0060200015,0.4684502465,0.0141533685,0.001079279,0.0738303455,0,0.044323803,0.0409728025,0.017698558,0.078717415,0.010877935500000002,0.0032202295000000004,0,0,0.0015490895,0.011357332999999999,6.624315000000001e-4,5.99406e-4,0.3151765895,0,0.120539653,0.048206138499999995,0.13789922,0.002315958,0.314578436,0,0.007631500499999999,0,0.0050879345,0,0,0.13169383099999998,0,0.315025617,0,0,0.281052078,0.002121533,0,0,0,0,0.442312383,0.029986548000000002,0,6.22177e-4,0,0,0,0,0,1-Aug-19,0.51,6.8,68.4,45.1,"35.99504257987518, -92.1222211645147",390,1124,2.60325,0.572,25,NA,NA,NA,AR,Springfield_Plateau,8.3,0.14,0.02197253433208489,4551.136363636364,5.0889679715302485,23.1605871886121,1.62,0.89,0.09,0,48.9,13.2,29.9,0.27,1.93,0.98,92
Perry,Hydropsychidae,Invert,0.023233132,0.363372316,0.126156034,0.026271458,0.120680018,0,0.03262926,2.725001636,0.084910196,0.008926481,1.385355357,0,0.260634717,0.069389493,0.024795426,0.269570783,0.002853023,0.061820833,0,0,0.009482389,0.062293675,0.00614694,0.002507977,0.658288043,0,1.942730074,0.248043714,0.621313753,0.026584556,2.132425784,0,0.095718458,0,0.039434344,0,0,0.006319463,0,0.237519795,0,0,1.862829443,0.036440746,0,0,0,0,0.010297082,0.003188485,0,0.00652074,0,0,0,0,0,31-Jul-19,0.968,7.7,68.4,51.3,"36.18335136188263, -92.38135372536217",310,1069,1.63525,1.035,26.3,NA,NA,NA,AR,Springfield_Plateau,46.8,0.18,0.06329307445344748,1579.9516908212563,9.681945743685688,15.297006548175867,3.13,0.72,0.07,0,52.7,8.58,26.7,7.49,6.34,0.79,87.98
Perry,Heptageniidae,Invert,0.007222652,0.142550072,0.065739111,0.004757436,0.050039573,0,0.012412582,2.509158064,0.088185557,0.004930433,2.202779207,0,0.258155758,0.094845967,0.009125627,0.200980032,8.21739e-4,0.113053971,0,0,0.055359251,0.020802969,0.003632951,0.010552857,0.759416479,0,0.56561585,1.390122699,0.436732593,0.052115545,0.790339811,0,0.107388298,0,0.042211429,0,0,0.016002284,0,0.352612481,0,0,1.557238438,0.033388548,0,0,0,0,0,0.003113958,0,0.001167734,0,0,0,0,0,31-Jul-19,0.968,7.7,68.4,51.3,"36.18335136188263, -92.38135372536217",310,1069,1.63525,1.035,26.3,NA,NA,NA,AR,Springfield_Plateau,46.8,0.18,0.06329307445344748,1579.9516908212563,9.681945743685688,15.297006548175867,3.13,0.72,0.07,0,52.7,8.58,26.7,7.49,6.34,0.79,87.98
Perry,Physidae,Invert,0.0012756495,0.13662442149999998,0.0053156345,0.0012874804999999999,0.0211126315,0,0.0091060505,0.6056790005,0.00438445,0.0011266255,0.1992813525,0,0.024351495,0.046577082500000005,0.017039435999999998,0.0741851005,0.0035659155,0.0034209920000000003,0,0,0.0014794565,0.001153013,6.29306e-4,8.14468e-4,0.308865628,0,0.105899197,0.08105361,0.0547942155,0.0016745994999999999,0.055524036,0,0.003972207,0,0.0054274755,0,0,0.054126755,0,0.137915014,0,0,0.144391906,0.002240013,0,0,0,0,0.3205452015,0.017732134,0,8.73234e-4,0,0,0,0,0,31-Jul-19,0.968,7.7,68.4,51.3,"36.18335136188263, -92.38135372536217",310,1069,1.63525,1.035,26.3,NA,NA,NA,AR,Springfield_Plateau,46.8,0.18,0.06329307445344748,1579.9516908212563,9.681945743685688,15.297006548175867,3.13,0.72,0.07,0,52.7,8.58,26.7,7.49,6.34,0.79,87.98
Perry,Isonychiidae,Invert,0.003113002,0.143058538,0.059189685,0.002686564,0.085652142,0,0.008040307,2.580814486,0.061903386,0.005671634,1.11622256,0,0.235785685,0.043233126,0.006803635,0.187377144,4.53576e-4,0.101988619,0,0,0.031808447,0.203411238,0.005004839,0.008455115,0.583112215,0,1.068585486,0.830741265,0.63668454,0.048183691,1.373163479,0,0.207245309,0,0.033339749,0,0,0.015844134,0,0.231176271,0,0,1.35453974,0.026799731,0,0,0,0,0.010122103,0.005206428,0,0.001732892,0,0,0,0,0,31-Jul-19,0.968,7.7,68.4,51.3,"36.18335136188263, -92.38135372536217",310,1069,1.63525,1.035,26.3,NA,NA,NA,AR,Springfield_Plateau,46.8,0.18,0.06329307445344748,1579.9516908212563,9.681945743685688,15.297006548175867,3.13,0.72,0.07,0,52.7,8.58,26.7,7.49,6.34,0.79,87.98
Perry,Corydalidae,Invert,0.001356001,0.015048453,0.011327335,0.002554327,0.007353938,0,0.00509604,0.334944767,0.005159109,0.006597101,0.157182546,0,0.009864116,0.037936482,0.015824212,0.090013213,0.002194829,0.003683276,0,0,3.59498e-4,0.00106588,2.64893e-4,4.22568e-4,0.525011904,0,0.556099007,0.145363266,0.341157142,0.002283127,0.082104261,0,0.001078494,0,0.04890432,0,0,0.001784875,0,0.102608251,0,0,0.134117922,0.042206308,0,0,0,0,0.006206068,0.0010848,0,0.004225676,0,0,0,0,0,31-Jul-19,0.968,7.7,68.4,51.3,"36.18335136188263, -92.38135372536217",310,1069,1.63525,1.035,26.3,NA,NA,NA,AR,Springfield_Plateau,46.8,0.18,0.06329307445344748,1579.9516908212563,9.681945743685688,15.297006548175867,3.13,0.72,0.07,0,52.7,8.58,26.7,7.49,6.34,0.79,87.98
Lewis Prong-Panther,Hydropsychidae,Invert,0.0173603055,0.75521615,0.1063386775,0.017486929,0.1659525455,0,0.038957109000000004,3.0679272085,0.126728042,0.0105481355,2.786116025,0,0.5862740885,0.0633720625,0.031798242500000004,0.32733482599999997,0.009527985999999999,0.29803311450000003,0,0,0.1349318375,0.521136265,0.1201494655,0.0079099255,1.0849229985000002,0,2.839714077,0.43168962,1.1063856859999999,0.092366743,3.037195031,0,0.192342943,0,0.062895763,0,0,0.0105034905,0,0.4557371915,0,0,3.0759530715,0.04619028,0,0,0,0,0.008246159999999999,0.016816541,0,0.0100963585,0,0,0,0,0,4-Aug-19,0.4,8.4,111.1,34.7,"35.722200737836616, -93.51254320440228",370,1039,0.5254,0.415,24.6,6.72,7.86,23,AR,Boston_Mountains,86.9,0.31,0.07898743814236772,1266.0240963855422,3.9942252165543786,5.056785370548604,2.52,0.04,0.01,0,93.4,1.07,0.97,1.45,1.66,0.05,95.44
Lewis Prong-Panther,Heptageniidae,Invert,0.0062411105,0.3605421645,0.0418956915,0.0036219355,0.0807883945,0,0.009711753,3.069141713,0.0656114325,0.003046184,3.4420250245,0,0.378792083,0.0511260915,0.0079112935,0.18590343599999998,0.001633479,0.28322100299999997,0,0,0.154142117,0.034577616,0.0072700035,0.0082251085,0.9430776249999999,0,1.0319235574999999,1.810742681,0.825346625,0.12365214199999999,1.1110526355,0,0.260755939,0,0.048689474499999996,0,0,0.026437989500000002,0,0.673100485,0,0,2.4005007765,0.0412552,0,0,0,0,0.0044240545,5.923775e-4,0,0.006012021500000001,0,0,0,0,0,4-Aug-19,0.4,8.4,111.1,34.7,"35.722200737836616, -93.51254320440228",370,1039,0.5254,0.415,24.6,6.72,7.86,23,AR,Boston_Mountains,86.9,0.31,0.07898743814236772,1266.0240963855422,3.9942252165543786,5.056785370548604,2.52,0.04,0.01,0,93.4,1.07,0.97,1.45,1.66,0.05,95.44
Lewis Prong-Panther,Psephenidae,Invert,0.011768367,0.539831288,0.048796563,0.007586328,0.057027087,0,0.011446269,3.064242924,0.15498421,0.00380233,6.340371449,0,0.367953946,0.022758985,0.013949731,0.127684426,0.009123496,0.442518361,0,0,0.521935199,0.094819939,0.056196964,0.028059202,0.628987012,0,3.31110629,0.695650858,1.018801734,0.244514406,1.123536011,0,0.439923245,0,0.062319448,0,0,0.008515961,0,0.730581487,0,0,1.631741449,0.014515367,0,0,0,0,0.029926324,0.018524573,0,0.00770155,0,0,0,0,0,4-Aug-19,0.4,8.4,111.1,34.7,"35.722200737836616, -93.51254320440228",370,1039,0.5254,0.415,24.6,6.72,7.86,23,AR,Boston_Mountains,86.9,0.31,0.07898743814236772,1266.0240963855422,3.9942252165543786,5.056785370548604,2.52,0.04,0.01,0,93.4,1.07,0.97,1.45,1.66,0.05,95.44
Lewis Prong-Panther,Corydalidae,Invert,0,0.1,0,0,0,0,0,0.7,0,0,0.2,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0.6,0,1.3,0.1,7,0,0.3,0,0,0,0.1,0,0,0,0,0.3,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4-Aug-19,0.4,8.4,111.1,34.7,"35.722200737836616, -93.51254320440228",370,1039,0.5254,0.415,24.6,6.72,7.86,23,AR,Boston_Mountains,86.9,0.31,0.07898743814236772,1266.0240963855422,3.9942252165543786,5.056785370548604,2.52,0.04,0.01,0,93.4,1.07,0.97,1.45,1.66,0.05,95.44
Lewis Prong-Panther,Perlidae,Invert,0.003608815,0.0913327395,0.033960631500000005,0.0041770875,0.0370827235,0,0.014144879499999999,1.3999178775,0.036288428,0.008519344,0.7793373455,0,0.10062152,0.0363558715,0.0115267145,0.1537447835,7.354449999999999e-4,0.066679392,0,0,0.0181164805,0.007980016,0.002151947,0.001051389,0.89513519,0,1.8841269884999998,0.5553112149999999,1.0562103,0.044585700000000006,1.04968716,0,0.0709387675,0,0.0591267325,0,0,0.01008583,0,0.6076101025,0,0,1.6863341760000001,0.031143283,0,0,0,0,0.008528774,0.0029104555,0,0.002617468,0,0,0,0,0,4-Aug-19,0.4,8.4,111.1,34.7,"35.722200737836616, -93.51254320440228",370,1039,0.5254,0.415,24.6,6.72,7.86,23,AR,Boston_Mountains,86.9,0.31,0.07898743814236772,1266.0240963855422,3.9942252165543786,5.056785370548604,2.52,0.04,0.01,0,93.4,1.07,0.97,1.45,1.66,0.05,95.44
Lewis Prong-Panther,Tipulidae,Invert,0.001411836,0.073182653,0.01873561,0.001918745,0.016191052,0,0.00550716,0.670947374,0.014864327,0.004464555,0.460751575,0,0.051637139,0.012254684,0.005100382,0.067760603,8.64875e-4,0.044236267,0,0,0.009054272,0.016940777,0.003305548,4.71864e-4,0.406039187,0,0.726055276,0.193511606,0.47526044,0.018079758,0.46631631,0,0.021615605,0,0.044445288,0,0,0.00228422,0,0.188008201,0,0,0.728092926,0.021345253,0,0,0,0,0.002580856,9.26e-5,0,0.002978873,0,0,0,0,0,4-Aug-19,0.4,8.4,111.1,34.7,"35.722200737836616, -93.51254320440228",370,1039,0.5254,0.415,24.6,6.72,7.86,23,AR,Boston_Mountains,86.9,0.31,0.07898743814236772,1266.0240963855422,3.9942252165543786,5.056785370548604,2.52,0.04,0.01,0,93.4,1.07,0.97,1.45,1.66,0.05,95.44
Cap Fork-North Sylamore,Hydropsychidae,Invert,0.0234505635,0.6751336125,0.1007827085,0.0181259675,0.1492166465,0,0.0363829535,4.2054466035,0.067281922,0.0098226915,3.3657870555000002,0,0.2889147295,0.0890763495,0.028822355,0.187821398,0.002144842,0.33441187699999997,0,0,0.044136982500000005,0.0160205965,0.0131282805,0.0091866655,0.7699223305,0,2.354576877,0.4541204245,0.7793773770000001,0.039750639500000004,0.9492385895000001,0,0.0843863195,0,0.0462674675,0,0,0.016275352,0,0.28072419049999997,0,0,3.1655189345,0.037398318,0,0,0,0,0.0142562915,0.015072171,0,0.0099959375,0,0,0,0,0,1-Aug-19,0.57,9.7,25.6,60,"36.01831941409226, -92.2515323560381",390,950,1.1388,0.541,23.79,8.78,9.18,248,AR,Springfield_Plateau,13.7,0.1,0.04750614682121532,2104.9907578558223,5.6947368421052635,11.987368421052631,3.23,0.5,0.07,0.01,80.5,7.24,5.69,1.67,4.7,0.5800000000000001,93.42999999999999
Cap Fork-North Sylamore,Heptageniidae,Invert,0.009223905000000001,0.4571017,0.06473801700000001,0.0039053335,0.077425723,0,0.010982269999999999,2.9586074350000002,0.0564164485,0.0033678595,3.6937392549999997,0,0.3859201525,0.0715576315,0.0092225355,0.149077222,0.0011568275,0.5298481905,0,0,0.270502451,0.0138756025,0.0029612295,0.027135339,0.9758968115,0,0.8537665905,2.3636650235000003,0.6665893895,0.0997021485,0.453407303,0,0.11003252499999999,0,0.055457154,0,0,0.046325977000000004,0,0.5118621525,0,0,2.701651601,0.044234025999999996,0,0,0,0,0.005096207,0.0059426315,0,0.0048091520000000006,0,0,0,0,0,1-Aug-19,0.57,9.7,25.6,60,"36.01831941409226, -92.2515323560381",390,950,1.1388,0.541,23.79,8.78,9.18,248,AR,Springfield_Plateau,13.7,0.1,0.04750614682121532,2104.9907578558223,5.6947368421052635,11.987368421052631,3.23,0.5,0.07,0.01,80.5,7.24,5.69,1.67,4.7,0.5800000000000001,93.42999999999999
