Site,Type,i-14:0,14:0,i-15:0,a-15:0,15:0,15:1w7,i-16:0,16:0,16:1w9,16:1w8,16:1w7,16:1w6,16:1w5,i-17:0,a-17:0,17:0,16:2w7,16:2w6,16:2w4,16:3w6,16:3w4,16:3w3,16:4w3,16:4w1,18:0,Cy19:0,18:1w9,18:1w7,18:2w6,18:3w6,18:3w3,18:4w4,18:4w3,18:5w3,20:0,20:1w9,20:1w7,20:2w6,20:3w6,20:4w6,20:3w3,20:4w3,20:5w3,22:0,22:1w9,22:1w7,22:4w6,22:5w6,22:5w3,22:6w3,23:0,24:0,26:0,27:0,28:0,29:0,30:0,Sample_Date,SRP_ug.L,NO3_ug.L,Canopy_Cover_per,Lat_Long,Slurry_Volume_mL,Cobble_SA_cm2,Slurry_AFDM_g,Slurry_Chla_mg,Temp,pH,DO_mg.L,Conductivity_uS.cm,State,EcoRegion,Discharge_L.s,MidPoint_Velocity_m.s,chla.afdm_per,AI,chla_mg.m2,afdm_mg.m2,UrbOp_per,UrbLo_per,UrbMed_per,UrbHi_per,Decid_per,Conif_per,MixFor_per,Hay_per,SepticWs,UrbTot_per,ForTot
Lick Branch-Little Mulberry,Periphyton,10.594474088068182,780.8110119318181,150.7595391193182,23.34932217613636,78.20553874999999,0,5.651538380681818,5893.966909090909,163.01318042613636,0,6332.453698863636,0,372.67315625,11.925264471590909,8.192138201704546,27.013316477272724,109.69515014204546,0,0,0,43.65683775568182,10.006852360795454,0,0,443.17048039772726,0,415.4139954545455,160.85280642045456,234.89314409090906,41.513746761363635,109.31492431818182,0,36.62266002840909,0,14.794241142045454,0,0,1.0888284943181818,0,57.65606127840909,0,0,177.79013857954544,10.85371896875,0,0,0,0,0,0.6221877102272727,1.9875440795454546,71.72441676136363,0,0,0,0,0,5-Aug-19,8.3,153.8,67.9,"35.70973036828683, -93.66113910920193",300,1056,0.62,0.356,21.9,7.82,7.83,39,AR,Boston_Mountains,4.6,0.08,0.05741935483870968,1741.5730337078653,3.371212121212121,5.871212121212121,3.8,0.09,0.01,0,86.8,1.67,0.26,2.88,2.79,0.09999999999999999,88.73
Lick Branch-Little Mulberry,Periphyton,18.216143235795453,1263.1022943181817,250.5513080965909,38.24120661931818,126.76721977272726,0,9.933193088068181,8782.434255681817,308.0083244318182,0,9516.808232954545,0,588.4068147727272,19.533164042613635,13.804916911931818,45.92118338068182,168.3723831534091,0,0,0,67.34260616477272,14.868054190340908,0,0,759.1276207386363,0,702.4005196022727,275.3208199147727,375.70002045454544,61.97931661931818,161.56513102272726,0,50.98298625,0,27.48289205965909,0,0,3.7130466164772726,0,81.89330596590908,0,0,246.15594948863634,22.91298852840909,0,0,0,0,1.063137278409091,0,5.521966764204546,165.35751625,0,0,0,0,0,5-Aug-19,8.3,153.8,67.9,"35.70973036828683, -93.66113910920193",300,1056,0.62,0.356,21.9,7.82,7.83,39,AR,Boston_Mountains,4.6,0.08,0.05741935483870968,1741.5730337078653,3.371212121212121,5.871212121212121,3.8,0.09,0.01,0,86.8,1.67,0.26,2.88,2.79,0.09999999999999999,88.73
Lewis Prong-Panther,Periphyton,31.77554751626564,2995.60523639076,642.0651754090471,87.1960846852743,266.9809710442733,0,17.33211682608277,9092.482791626564,539.4602507025986,0,11803.40536900866,0,2971.8169435514915,39.74017562848893,41.12040945524543,99.27124528970162,167.74743705197304,0,0,0,52.599731389797874,38.314688202117416,0,0,1958.5593706737247,0,1936.3247836862365,741.9850553416746,781.7478578055823,76.93106685466795,493.23373021174206,0,65.5648788479307,0,48.17242392107796,0,0,17.188813860346485,0,97.37059542348412,0,0,162.73937544658324,34.03068369201155,0,0,0,0,2.00624154879692,1.3802338481231953,5.06085743599615,96.18646035033686,0,0,0,0,0,4-Aug-19,8.4,111.1,34.7,"35.722200737836616, -93.51254320440228",370,1039,0.5254,0.415,24.6,6.72,7.86,23,AR,Boston_Mountains,86.9,0.31,0.07898743814236772,1266.0240963855422,3.9942252165543786,5.056785370548604,2.52,0.04,0.01,0,93.4,1.07,0.97,1.45,1.66,0.05,95.44
Lewis Prong-Panther,Periphyton,32.87800838700674,3330.784247228104,784.923668585178,103.46511562752647,306.9736938229066,0,23.24242059682387,11159.668301058711,649.1921873435996,0,12748.148579692011,0,3096.6137571029835,52.361929220404235,43.96735551010587,133.26718202887392,148.44301118479305,0,0,0,44.25101588546679,33.79104016544755,0,0,2586.7431278825793,0,2292.9596408373436,894.7445490952839,847.444184263715,77.23539687584216,483.0913187006737,0,63.50446269682387,0,64.77206991241579,0,0,20.49446087699711,0,96.90546984793069,0,0,155.17994469008661,46.89260296631376,0,0,0,0,2.136317071511068,3.820550447834456,7.286525451395573,123.66705177670838,0,0,0,0,0,4-Aug-19,8.4,111.1,34.7,"35.722200737836616, -93.51254320440228",370,1039,0.5254,0.415,24.6,6.72,7.86,23,AR,Boston_Mountains,86.9,0.31,0.07898743814236772,1266.0240963855422,3.9942252165543786,5.056785370548604,2.52,0.04,0.01,0,93.4,1.07,0.97,1.45,1.66,0.05,95.44
Lewis Prong-Panther,Periphyton,56.66467958999037,4497.628760635226,1344.723357016362,176.89145680173243,496.79336488931665,0,31.85787649403272,14711.398842059672,937.8183733012512,0,21097.80188267565,0,5218.835769778633,87.18233995091434,73.54115915399423,212.13828743984598,277.1857201838306,0,0,0,76.35817395380172,60.045097342637156,0,0,3874.5819146294507,0,3846.027629355149,1536.1267084215592,1475.8938097978826,136.71911843118383,900.6593872569778,0,116.34271136381136,0,108.36970582483156,0,0,32.720053752454284,0,184.6083700635226,0,0,314.8142088075072,81.9580579307026,0,0,0,0,3.8157745953801734,13.68386281462945,11.566833508373435,235.7670661568816,0,0,0,0,0,4-Aug-19,8.4,111.1,34.7,"35.722200737836616, -93.51254320440228",370,1039,0.5254,0.415,24.6,6.72,7.86,23,AR,Boston_Mountains,86.9,0.31,0.07898743814236772,1266.0240963855422,3.9942252165543786,5.056785370548604,2.52,0.04,0.01,0,93.4,1.07,0.97,1.45,1.66,0.05,95.44
Little Piney,Periphyton,19.76563336517572,4.854192361980831,362.14069161341854,60.69235580191693,128.2324121373802,0,12.010886639297127,7059.959296166135,303.1627528434505,0,6272.114905111821,0,1012.4828572204473,20.862062851437702,24.380604748562302,72.62350211501598,16.625858022683705,0,0,0,3.7477953313099044,3.378996325239617,0,0,695.2559044408946,0,1052.243377571885,371.43043961341857,112.52356787220448,4.54519859744409,40.01967623194888,0,9.219975222364218,0,33.301553746645375,0,0,3.339126160063898,0,4.963835308945686,0,0,5.442277266134186,23.3639155884984,0,0,0,0,0,0.976818994888179,3.897308443450479,46.93714954313099,0,0,0,0,0,3-Aug-19,10.6,25.6,28.4,"35.649248542128724, -93.3465293909319",390,939,0.84825,0.416,22.61,6.07,6.02,24,AR,Boston_Mountains,9.28,0.09,0.049042145593869726,2039.0625,4.43024494142705,9.033546325878595,3.34,0.14,0.02,0,65.8,18.7,7.51,2.73,2.79,0.16,92.01
Little Piney,Periphyton,44.967946134185304,2978.0978715974443,936.4953726837061,149.94428110543132,307.5576541214058,0,29.079392140894573,11417.942571884985,741.4026963897765,0,12850.375565495207,0,2654.0110688498403,53.421992207667735,65.27750609904153,160.04943753354635,165.48998160063897,0,0,0,41.32287186038339,81.67131791373802,0,0,1798.808070351438,0,2719.8028552396167,1084.7344088178916,1395.5401490734826,62.14671207028754,941.4487041214057,0,52.276139645367415,0,79.54201709584666,0,0,30.288401926198084,0,89.55694891373803,0,0,111.86047276038339,49.876164996805116,0,0,0,0,4.258601639936103,2.625536182428115,10.249515812779553,94.94335819808308,0,0,0,0,0,3-Aug-19,10.6,25.6,28.4,"35.649248542128724, -93.3465293909319",390,939,0.84825,0.416,22.61,6.07,6.02,24,AR,Boston_Mountains,9.28,0.09,0.049042145593869726,2039.0625,4.43024494142705,9.033546325878595,3.34,0.14,0.02,0,65.8,18.7,7.51,2.73,2.79,0.16,92.01
Little Piney,Periphyton,50.60189107667732,3342.2628062939298,1048.2215314376997,166.69787693290738,356.978368230032,0,32.51003619105432,12578.559620447284,807.4280284025559,0,15172.429937699682,0,3231.015674696486,58.17637401277956,79.17161607028756,181.08643185303518,319.4614704472844,0,0,0,96.47343365175719,227.94552104792334,0,0,1961.7614488817892,0,3258.706482939297,1263.5264553035145,2517.750220670927,160.5257102683706,2500.0138824920127,0,154.13628336741215,0,87.931155,0,0,50.46363453993611,0,324.9028525782748,0,0,512.0725717571885,54.85821721405751,0,0,0,0,6.507932516932907,35.186287649520764,10.112477841214059,101.3815405399361,0,0,0,0,0,3-Aug-19,10.6,25.6,28.4,"35.649248542128724, -93.3465293909319",390,939,0.84825,0.416,22.61,6.07,6.02,24,AR,Boston_Mountains,9.28,0.09,0.049042145593869726,2039.0625,4.43024494142705,9.033546325878595,3.34,0.14,0.02,0,65.8,18.7,7.51,2.73,2.79,0.16,92.01
Mill,Periphyton,266.29647894333846,5777.649081929555,2817.9679065849923,619.3568215926493,719.7331516845328,0,101.48988832312403,20812.295782542114,1784.7525542879018,0,36340.769055130164,0,1107.3450151607963,222.75323728943334,120.93032225114854,427.84565209800917,3941.8289645482387,0,0,0,1972.6108371362939,514.3805599540582,0,0,3474.717382848392,0,6728.492361408882,4487.482813476263,6169.309303215926,885.3827162327717,6122.029915007656,0,898.8078554364471,0,365.2054102909648,0,0,74.54594648545176,0,2734.055583996937,0,0,11661.616940275651,384.1983395788668,0,0,0,0,425.5769076646248,246.8248237825421,53.825441209800914,1077.0708062787135,0,0,0,0,0,31-Aug-19,6.1,453,37.9,"36.500356,-91.218754",350,653,1.501,1.196,26.1,8.02,8.6,408,MO,Springfield_Plateau,917,0.21,0.07968021319120587,1255.0167224080267,18.315467075038285,22.986217457886678,2.96,0.52,0.1,0,36.4,0.01,3.17,53.3,1.53,0.62,39.58
Mill,Periphyton,559.4149790199081,15734.306611026033,5526.5960543644715,1316.8831362940275,1407.0162248851454,0,277.587795229709,72398.62026799387,3140.188893261868,0,75182.79271056662,0,1935.1887529862172,355.4635213323124,218.88147865237363,635.3553323124042,4868.661370367534,0,0,0,2067.2549251148544,606.2325751914242,0,0,5761.236997702909,0,11189.221189892804,6728.186253445635,7453.121711332312,807.6956962480857,6457.23402143951,0,768.250949770291,0,591.3947153905053,0,0,81.0091872358346,0,2053.4308320061255,0,0,7843.145465543644,680.1453945635528,0,0,0,0,269.9384635451761,150.95909982388972,103.4042185222052,1829.5726795558955,0,0,0,0,0,31-Aug-19,6.1,453,37.9,"36.500356,-91.218754",350,653,1.501,1.196,26.1,8.02,8.6,408,MO,Springfield_Plateau,917,0.21,0.07968021319120587,1255.0167224080267,18.315467075038285,22.986217457886678,2.96,0.52,0.1,0,36.4,0.01,3.17,53.3,1.53,0.62,39.58
Mill,Periphyton,295.8591867075038,7896.026150842265,3047.862226569678,752.8112341500765,811.4994833843797,0,213.33971693721284,28319.22739969372,1267.058797320061,0,40773.90297243492,0,1070.915472588055,230.7488877565084,138.731748093415,494.2270167304747,3723.74426898928,0,0,0,1758.1715068147012,601.5255398928024,0,0,3481.892199004594,0,7632.3159012251135,3928.611522741194,6075.897342266462,811.0158954058193,6223.0241784073505,0,815.677684762634,0,353.9284432542113,0,0,75.28499212098008,0,2301.7438510719753,0,0,9797.301044410413,409.42501118683003,0,0,0,0,294.6598882848392,214.86785526033688,52.15013843491577,1079.9682413476262,0,0,0,0,0,31-Aug-19,6.1,453,37.9,"36.500356,-91.218754",350,653,1.501,1.196,26.1,8.02,8.6,408,MO,Springfield_Plateau,917,0.21,0.07968021319120587,1255.0167224080267,18.315467075038285,22.986217457886678,2.96,0.52,0.1,0,36.4,0.01,3.17,53.3,1.53,0.62,39.58
Mulberry,Periphyton,25.518215518104014,2480.122527452271,498.8307524160632,59.851073577353525,217.90914223568137,0,17.734082698617513,8358.563394865043,274.79677248189597,0,9686.296584331798,0,914.0795969190257,42.390629063857794,19.562218604081632,168.24672417116523,124.5985239104674,0,0,0,23.52123903673469,83.36649052534561,0,0,2125.900818485846,0,2588.7103062541146,592.7468679657669,1043.0737977353522,78.51086842396313,964.2194261751151,0,71.63498144832127,0,172.06019239236338,0,0,10.671888899802502,0,73.82990896115865,0,0,126.24035296905859,103.42358669387754,0,0,0,0,1.269215374325214,4.45972007399605,18.22313816484529,123.65534552468729,0,0,0,0,0,4-Aug-19,8.4,5,54.8,"35.688254121491525, -93.44995997934139",360,1519,1.1952,0.846,21.6,6.77,8.35,18,AR,Boston_Mountains,10.46,0.7,0.07078313253012047,1412.7659574468087,5.569453587886767,7.868334430546412,4.81,0.39,0.06,0.01,81.7,6.09,3.95,1.7,2.56,0.46,91.74000000000001
Mulberry,Periphyton,17.306965573666886,1961.8141096510863,309.63330059249506,38.80433148387097,152.10652412903227,0,11.998012147465438,6490.217823831468,235.51942026596444,0,6422.069560763661,0,582.0148880579329,26.61711137063858,13.456026611454904,117.35903439894668,88.10970609874919,0,0,0,17.07880300566162,53.11179404081633,0,0,1509.8129312705726,0,1621.3120831599736,345.6774213298222,702.5681982620146,47.034878788676764,625.7942764186964,0,40.43485912574062,0,118.87826321790652,0,0,3.856503905727452,0,45.76050737063858,0,0,39.143792879525996,63.100862591178405,0,0,0,0,0.9404749777485188,0.7401371131007242,8.703567254772876,79.36718426069783,0,0,0,0,0,4-Aug-19,8.4,5,54.8,"35.688254121491525, -93.44995997934139",360,1519,1.1952,0.846,21.6,6.77,8.35,18,AR,Boston_Mountains,10.46,0.7,0.07078313253012047,1412.7659574468087,5.569453587886767,7.868334430546412,4.81,0.39,0.06,0.01,81.7,6.09,3.95,1.7,2.56,0.46,91.74000000000001
Mulberry,Periphyton,18.53286641158657,2115.2317617906515,334.23129598420013,41.54363748782093,159.7836942462146,0,11.723744898485846,7163.687909150757,220.06318007636602,0,7134.138658854509,0,690.5507180776826,28.294452545095456,14.319453370111916,118.38152903225806,92.95957850954575,0,0,0,18.440601890717577,62.30315428044766,0,0,1611.0615235023042,0,1816.1778513495722,399.56687763001975,782.9321055167874,59.9473335720869,699.8140757340356,0,50.80084423963134,0,120.7619536194865,0,0,10.395135823568138,0,57.19785089664253,0,0,97.8249941514154,68.39876351020408,0,0,0,0,1.9498568373930216,2.288160073469388,12.357294595655036,85.19090601448322,0,0,0,0,0,4-Aug-19,8.4,5,54.8,"35.688254121491525, -93.44995997934139",360,1519,1.1952,0.846,21.6,6.77,8.35,18,AR,Boston_Mountains,10.46,0.7,0.07078313253012047,1412.7659574468087,5.569453587886767,7.868334430546412,4.81,0.39,0.06,0.01,81.7,6.09,3.95,1.7,2.56,0.46,91.74000000000001
Perry,Periphyton,43.73371697193639,7202.962986155286,332.3823421889617,44.16023875116932,691.1328708512629,0,67.00962064733396,40783.05441159963,87.86348988587466,0,80.32319383723106,0,1926.23336,111.017530212348,64.1458314546305,289.27317488026193,2731.826401337699,0,0,0,543.7086586810103,884.5909709073901,0,0,3968.5568139382603,0,3455.984245837231,3827.6522906454634,5962.607138634238,932.9707288400375,5179.58928587465,0,945.1265999251638,0,171.09617167165575,0,0,70.14760243311507,0,1398.686830869972,0,0,9751.55257698784,158.4071482609916,0,0,0,0,270.20155743872783,107.43779369971936,17.9596141738073,575.9567531898972,0,0,0,0,0,31-Jul-19,7.7,68.4,51.3,"36.18335136188263, -92.38135372536217",310,1069,1.63525,1.035,26.3,NA,NA,NA,AR,Springfield_Plateau,46.8,0.18,0.06329307445344748,1579.9516908212563,9.681945743685688,15.297006548175867,3.13,0.72,0.07,0,52.7,8.58,26.7,7.49,6.34,0.79,87.98
Perry,Periphyton,27.144427549204867,4044.1523757717496,195.55894398596823,26.70109812385407,343.9223035921422,0,47.01825249017774,23435.913550888683,181.54973404396634,0,306.83463030869973,0,1034.6675523573433,62.30678446772686,40.127646524789526,146.69137446117867,1460.8337981290929,0,0,0,324.68180647333963,458.73195891487376,0,0,2187.10873354537,0,1974.3612743966326,2215.735148222638,3417.081899251637,481.55709130028066,3022.050044714687,0,480.0751042563144,0,91.40186149485501,0,0,35.64368600467727,0,723.6782918989711,0,0,4684.674732460244,89.57787757904585,0,0,0,0,129.30019431898972,47.82891200187091,10.715905602525725,333.649727455566,0,0,0,0,0,31-Jul-19,7.7,68.4,51.3,"36.18335136188263, -92.38135372536217",310,1069,1.63525,1.035,26.3,NA,NA,NA,AR,Springfield_Plateau,46.8,0.18,0.06329307445344748,1579.9516908212563,9.681945743685688,15.297006548175867,3.13,0.72,0.07,0,52.7,8.58,26.7,7.49,6.34,0.79,87.98
